"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT"
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys","STPX55739_Animale ferma","Set baloane de sapun Bubbelix 5 figurine vesele mini Pustefix bubble toys animale ferma",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fset-baloane-de-sapun-bubbelix-5-figurine-vesele-mini-pustefix-bubble-toys-animale-ferma-400443,https://img.nichiduta.ro/produse/2024/09/Set-baloane-de-sapun-Bubbelix-5-figurine-vesele-Mini-Pustefix-Bubble-Toys-STPX55739-400443-0.jpg,26
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys","STPX55739_Animale companie","Set baloane de sapun Bubbelix 5 figurine vesele mini Pustefix bubble Toys animale companie",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fset-baloane-de-sapun-bubbelix-5-figurine-vesele-mini-pustefix-bubble-toys-animale-companie-400444,https://img.nichiduta.ro/produse/2024/09/Set-baloane-de-sapun-Bubbelix-5-figurine-vesele-Mini-Pustefix-Bubble-Toys-STPX55739-400444-0.jpg,26
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys","STPX55739_Animale Safari","Set baloane de sapun Bubbelix 5 figurine vesele mini Pustefix bubble toys animale safari",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fset-baloane-de-sapun-bubbelix-5-figurine-vesele-mini-pustefix-bubble-toys-animale-safari-400441,https://img.nichiduta.ro/produse/2024/09/Set-baloane-de-sapun-Bubbelix-5-figurine-vesele-Mini-Pustefix-Bubble-Toys-STPX55739-400441-0.jpg,26
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX630_Initiala,"Jucarie baloane de sapun galetusa cu 3 inele si 250 ml solutie Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-baloane-de-sapun-galetusa-cu-3-inele-si-250-ml-solutie-pustefix-bubble-toys-400437,https://img.nichiduta.ro/produse/2024/09/Jucarie-baloane-de-sapun-Galetusa-din-care-nu-se-varsa-solutia-cu-3-inele-si-250ml-solutie-Pustefix-Bubble-Toys-STPX630-400437-0.jpg,20
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX580_Initiala,"Jucarie baloane de sapun cu 2 inele 18 cm si 250 ml solutie baloane de sapun multi-bubbler Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-baloane-de-sapun-cu-2-inele-18-cm-si-250-ml-solutie-baloane-de-sapun-multi-bubbler-pustefix-bubble-toys-400440,https://img.nichiduta.ro/produse/2024/09/Jucarie-baloane-de-sapun-cu-2-inele-18-cm-si-250ml-solutie-baloane-de-sapun-Multi-Bubbler-Pustefix-Bubble-Toys-STPX580-400440-0.jpg,20
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX620_Initiala,"Jucarie baloane de sapun Kurbelix Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-baloane-de-sapun-kurbelix-pustefix-bubble-toys-400439,https://img.nichiduta.ro/produse/2024/09/Jucarie-baloane-de-sapun-Kurbelix-Pustefix-Bubble-Toys-STPX620-400439-0.jpg,30
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX635_Initiala,"Mega galetusa cu 3 inele mari si 1l solutie baloane de sapun Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fmega-galetusa-cu-3-inele-mari-si-1l-solutie-baloane-de-sapun-pustefix-bubble-toys-400436,https://img.nichiduta.ro/produse/2024/09/Mega-galetusa-cu-3-inele-mari-si-1L-solutie-baloane-de-sapun-Pustefix-Bubble-Toys-STPX635-400436-3.jpg,50
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX9850_Initiala,"Set 10 creioane baloane de sapun Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fset-10-creioane-baloane-de-sapun-pustefix-bubble-toys-400424,https://img.nichiduta.ro/produse/2024/09/Creioane-baloane-de-sapun---set-10-creioane-Pustefix-Bubble-Toys-STPX9850-400424-0.jpg,20
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX858_Initiala,"Racheta baloane de sapun Bubble-Rocket cu solutie baloane 220 ml Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fracheta-baloane-de-sapun-bubble-rocket-cu-solutie-baloane-220-ml-pustefix-bubble-toys-400429,https://img.nichiduta.ro/produse/2024/09/Racheta-care-face-baloane-de-sapun-Bubble-Rocket-cu-solutie-baloane-220-ml-Pustefix-Bubble-Toys-STPX858-400429-0.jpg,30
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX660_Initiala,"Bubble Plane avion Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fbubble-plane-avion-pustefix-bubble-toys-400435,https://img.nichiduta.ro/produse/2024/09/Bubble-Plane---Avion-Pustefix-Bubble-Toys-STPX660-400435-1.jpg,30
