"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT"
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216126,"Mistrie inox pentru colt exterior, 80x60x60 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13780-mistrie-inox-pentru-colt-exterior-80x60x60-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/1/6/45516.jpg,47.56,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216125,"Mistrie din inox colt interior, 80x60x60 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13779-mistrie-din-inox-colt-interior-80x60x60-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/5/1/5/45515.jpg,48.07,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC2160782,"Spaclu cu guma si rosturi cu zimti de 8 mm, 16x18 cm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13755-spaclu-cu-guma-si-rosturi-cu-zimti-de-8-mm-16x18-cm-strend-pro.html,http://gimihome.ro/img/p/4/5/4/6/8/45468.jpg,40.55,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC216063,"Cancioc 160 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13746-cancioc-160-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/4/5/3/45453.jpg,55.73,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC2160504,"Rola sapa 20x250 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13731-rola-sapa-20x250-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/4/3/7/45437.jpg,83.97,
Gimihome.ro,Acasa,"Strend Pro",ARC2160503,"Rola sapa 20x400 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F2%2F13730-rola-sapa-20x400-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/4/3/6/45436.jpg,162.65,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC2160493,"Cancioc zincat 180 mm, Strend Pro",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13729-cancioc-zincat-180-mm-strend-pro.html,http://gimihome.ro/img/p/4/5/4/3/5/45435.jpg,61.85,
Gimihome.ro,"NEW PRODUCTS","Strend Pro",ARC2160329,"Razuitor tencuiala 29x15 cm",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13718-razuitor-tencuiala-29x15-cm.html,http://gimihome.ro/img/p/4/5/4/2/4/45424.jpg,90.04,
Gimihome.ro,"NEW PRODUCTS",Beorol,ARC151022,"Lame razuitor unghiular pentru placi de gips carton, BEOROL",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F13161-lame-razuitor-unghiular-pentru-placi-de-gips-carton-beorol.html,http://gimihome.ro/img/p/4/3/8/5/1/43851.jpg,41.6,
Gimihome.ro,"NEW PRODUCTS",Beorol,ARC102124,"Razuitor lama 100 mm si maner lung 320 mm",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F12654-razuitor-lama-100-mm-si-maner-lung-320-mm.html,http://gimihome.ro/img/p/4/2/2/1/1/42211.jpg,69.37,
